ImageId,WKT_Pix
AOI_4_Shanghai_img1920,"LINESTRING (0.00 177.57, 5.30 176.82)"
AOI_4_Shanghai_img1920,"LINESTRING (1300.00 284.39, 1164.70 299.17, 1091.21 307.19, 776.71 343.62, 649.38 358.36, 521.09 372.68, 473.97 377.91, 303.28 396.83, 125.97 417.81, 0.00 432.72)"
AOI_4_Shanghai_img1920,"LINESTRING (0.00 638.69, 36.89 628.72, 61.30 623.81, 141.72 615.21, 228.84 731.87, 228.84 744.56, 181.93 755.20, 161.83 777.71, 153.21 824.79, 174.75 857.94, 214.96 874.32, 261.87 868.59, 293.47 840.75, 300.17 802.27, 291.55 778.53, 245.60 746.61, 228.84 744.56)"
AOI_4_Shanghai_img1920,"LINESTRING (93.61 254.80, 85.48 217.14, 64.89 126.27, 39.04 26.40, 30.82 0.00)"
AOI_4_Shanghai_img1920,"LINESTRING (93.61 254.80, 109.41 326.02, 121.38 373.50, 125.97 417.81)"
AOI_4_Shanghai_img1920,"LINESTRING (266.90 233.10, 227.65 233.51, 188.87 238.84, 93.61 254.80)"
AOI_4_Shanghai_img1920,"LINESTRING (142.67 1300.00, 140.29 1289.99, 123.53 1225.32, 110.61 1172.92, 85.24 1144.27, 135.02 1134.04, 329.85 1110.30)"
AOI_4_Shanghai_img1920,"LINESTRING (447.20 168.88, 425.83 192.17, 416.25 209.77, 364.08 217.14, 351.15 218.78, 326.26 220.82, 312.38 228.19, 266.90 233.10, 233.39 215.91)"
AOI_4_Shanghai_img1920,"LINESTRING (410.36 79.58, 282.22 116.04)"
AOI_4_Shanghai_img1920,"LINESTRING (423.91 140.60, 293.23 178.26)"
AOI_4_Shanghai_img1920,"LINESTRING (329.85 1110.30, 347.56 1176.61)"
AOI_4_Shanghai_img1920,"LINESTRING (329.85 1110.30, 353.30 1100.06, 379.63 1086.56, 407.88 1066.09, 512.78 1041.62, 576.38 1026.79)"
AOI_4_Shanghai_img1920,"LINESTRING (352.68 0.00, 361.68 22.71, 387.91 16.45, 414.82 10.02, 425.35 16.98, 446.89 10.84, 494.03 0.00)"
AOI_4_Shanghai_img1920,"LINESTRING (387.91 16.45, 401.89 54.64, 410.36 79.58, 414.82 92.71, 423.91 140.60, 438.27 164.75, 447.20 168.88, 461.25 175.39, 511.51 169.25, 562.86 151.30)"
AOI_4_Shanghai_img1920,"LINESTRING (608.45 955.98, 577.57 970.30, 551.72 978.70, 525.16 985.86, 486.86 995.48, 453.11 972.15, 399.50 976.24)"
AOI_4_Shanghai_img1920,"LINESTRING (449.71 1300.00, 450.96 1299.82, 528.03 1285.49, 547.65 1278.53, 539.99 1211.81, 550.53 1184.80, 544.30 1156.55, 526.59 1098.43, 512.78 1041.62)"
AOI_4_Shanghai_img1920,"LINESTRING (761.64 634.94, 666.61 657.58, 530.66 687.46, 467.47 702.60)"
AOI_4_Shanghai_img1920,"LINESTRING (492.60 436.13, 478.00 450.46, 471.78 465.60, 488.06 509.81, 692.81 461.82)"
AOI_4_Shanghai_img1920,"LINESTRING (1031.98 1300.00, 1024.91 1280.58, 959.30 1120.50, 930.13 1049.31, 910.50 999.49, 882.51 928.48, 871.25 899.90, 862.13 877.85, 833.86 809.52, 789.21 701.60, 761.64 634.94, 735.78 572.44, 733.04 565.37, 692.81 461.82, 690.78 456.60, 664.45 429.58, 641.48 423.03, 578.77 428.35, 492.60 436.13, 480.64 407.07, 473.97 377.91, 473.22 345.26, 477.05 318.24, 504.33 308.01, 584.75 300.23, 608.69 293.68, 606.77 258.48, 562.86 151.30, 560.82 146.33, 510.08 6.75, 507.47 0.00)"
AOI_4_Shanghai_img1920,"LINESTRING (733.04 565.37, 682.41 574.89, 617.30 591.67, 557.47 605.18, 525.87 597.81)"
AOI_4_Shanghai_img1920,"LINESTRING (576.38 1026.79, 599.83 1034.98, 638.61 1025.97, 695.09 1022.29, 749.18 1013.69, 804.71 1018.20, 875.08 1007.96, 910.50 999.49)"
AOI_4_Shanghai_img1920,"LINESTRING (576.38 1026.79, 596.00 1103.34, 820.03 1057.49)"
AOI_4_Shanghai_img1920,"LINESTRING (789.21 701.60, 716.87 718.16, 668.52 720.20, 588.27 738.76)"
AOI_4_Shanghai_img1920,"LINESTRING (833.86 809.52, 804.95 814.35, 750.38 827.86)"
AOI_4_Shanghai_img1920,"LINESTRING (959.30 1120.50, 844.44 1148.36, 791.79 1157.37, 755.01 1162.62, 776.95 1235.14)"
AOI_4_Shanghai_img1920,"LINESTRING (797.54 1300.00, 788.44 1274.85, 776.95 1235.14, 843.96 1217.13)"
AOI_4_Shanghai_img1920,"LINESTRING (882.51 928.48, 784.61 956.39, 691.26 974.81, 628.55 987.91, 609.88 977.26, 608.45 955.98, 651.05 937.56, 692.70 930.60, 711.25 925.69, 747.15 913.00, 844.68 883.12, 862.13 877.85)"
AOI_4_Shanghai_img1920,"LINESTRING (1300.00 644.90, 1260.19 574.89, 1190.30 429.17, 1171.15 337.48, 1164.70 299.17, 1161.58 265.44, 1151.05 236.79, 1107.01 238.43, 992.12 253.16, 946.17 257.25, 921.27 237.61, 917.44 201.59)"
AOI_4_Shanghai_img1700,"LINESTRING (428.51 1300.00, 763.01 809.04, 973.64 499.45, 1152.96 229.61, 1300.00 13.38)"
AOI_4_Shanghai_img1700,"LINESTRING (1300.00 112.69, 1198.64 265.98, 865.36 758.29, 607.37 1137.24, 499.43 1300.00)"
AOI_4_Shanghai_img1890,LINESTRING EMPTY
AOI_4_Shanghai_img144,"LINESTRING (0.00 248.97, 197.05 169.23, 216.81 161.93, 240.33 153.24, 545.25 40.55)"
AOI_4_Shanghai_img144,"LINESTRING (170.56 803.38, 122.42 749.87, 0.00 613.77)"
AOI_4_Shanghai_img144,"LINESTRING (0.00 782.35, 122.42 749.87)"
AOI_4_Shanghai_img144,"LINESTRING (206.36 846.62, 111.55 881.77, 0.00 910.08)"
AOI_4_Shanghai_img144,"LINESTRING (263.13 915.19, 158.94 949.42, 118.17 962.82, 13.12 991.58, 0.00 987.78)"
AOI_4_Shanghai_img144,"LINESTRING (1300.00 989.82, 984.03 1025.70, 773.19 1049.90, 523.47 1078.41, 399.91 1093.10, 271.16 1124.21, 101.80 1165.69, 63.78 1169.14, 37.86 1170.87, 0.00 1181.84)"
AOI_4_Shanghai_img144,"LINESTRING (0.00 1242.09, 431.29 1134.76)"
